Word,Log Rank,Log Frequency
mr redgrave,2.606381365110605,1.1760912590556813
mr salmon,2.6074550232146687,1.1760912590556813
nursing home,2.6085260335771943,1.1760912590556813
of britain,2.60959440922522,1.1760912590556813
s not,2.61066016308988,1.1760912590556813
said yesterday,2.611723308007342,1.1760912590556813
south wales,2.6127838567197355,1.1760912590556813
the bailiffs,2.6138418218760693,1.1760912590556813
the boy,2.6148972160331345,1.1760912590556813
the end,2.615950051656401,1.1760912590556813
the night,2.617000341120899,1.1760912590556813
the patient,2.6180480967120925,1.1760912590556813
the us,2.6190933306267428,1.1760912590556813
they are,2.6201360549737576,1.1760912590556813
two men,2.621176281775035,1.1760912590556813
went on,2.622214022966295,1.1760912590556813
where he,2.6232492903979003,1.1760912590556813
years and,2.6242820958356683,1.1760912590556813
a car,2.625312450961674,1.146128035678238
a high,2.6263403673750423,1.146128035678238
a police,2.6273658565927325,1.146128035678238
a string,2.6283889300503116,1.146128035678238
and there,2.629409599102719,1.146128035678238
and we,2.630427875025024,1.146128035678238
be the,2.6314437690131722,1.146128035678238
but that,2.6324572921847245,1.146128035678238
but we,2.6334684555795866,1.146128035678238
by his,2.6344772701607315,1.146128035678238
do it,2.635483746814912,1.146128035678238
does not,2.6364878963533656,1.146128035678238
failed to,2.637489729512511,1.146128035678238
go to,2.6384892569546374,1.146128035678238
hagland s,2.639486489268586,1.146128035678238
haven t,2.640481436970422,1.146128035678238
he did,2.6414741105040997,1.146128035678238
heard that,2.6424645202421213,1.146128035678238
her in,2.6434526764861874,1.146128035678238
hobbs was,2.6444385894678386,1.146128035678238
if they,2.645422269349092,1.146128035678238
in he,2.6464037262230695,1.146128035678238
leicester square,2.6473829701146196,1.146128035678238
life yesterday,2.6483600109809315,1.146128035678238
like she,2.649334858712142,1.146128035678238
meg s,2.6503075231319366,1.146128035678238
must have,2.651278013998144,1.146128035678238
not be,2.6522463410033232,1.146128035678238
of health,2.6532125137753435,1.146128035678238
said they,2.6541765418779604,1.146128035678238
six years,2.655138434811382,1.146128035678238
some of,2.656098202012832,1.146128035678238
