Word,Log Rank,Log Frequency
schedule,2.8188854145940097,1.255272505103306
screen,2.8195439355418688,1.255272505103306
several,2.82020145948564,1.255272505103306
severe,2.8208579894397,1.255272505103306
skull,2.821513528404773,1.255272505103306
started,2.8221680793680175,1.255272505103306
success,2.8228216453031045,1.255272505103306
trying,2.823474229170301,1.255272505103306
using,2.824125833916549,1.255272505103306
wrong,2.824776462475546,1.255272505103306
abuse,2.8254261177678233,1.2304489213782739
across,2.8260748027008264,1.2304489213782739
australia,2.826722520168992,1.2304489213782739
better,2.8273692730538253,1.2304489213782739
change,2.828015064223977,1.2304489213782739
characters,2.82865989653532,1.2304489213782739
claim,2.829303772831025,1.2304489213782739
council,2.829946695941636,1.2304489213782739
driving,2.8305886686851442,1.2304489213782739
fact,2.8312296938670634,1.2304489213782739
failed,2.8318697742805017,1.2304489213782739
far,2.832508912706236,1.2304489213782739
favourite,2.833147111912785,1.2304489213782739
find,2.833784374656479,1.2304489213782739
government,2.8344207036815328,1.2304489213782739
hour,2.835056101720116,1.2304489213782739
however,2.8356905714924254,1.2304489213782739
incident,2.8363241157067516,1.2304489213782739
include,2.8369567370595505,1.2304489213782739
included,2.837588438235511,1.2304489213782739
insisted,2.8382192219076257,1.2304489213782739
involved,2.838849090737255,1.2304489213782739
jagger,2.8394780473741985,1.2304489213782739
jones,2.840106094456758,1.2304489213782739
launched,2.8407332346118066,1.2304489213782739
leaving,2.841359470454855,1.2304489213782739
looks,2.8419848045901137,1.2304489213782739
